Star,TIC,PICid,RA,Dec,GLON,GLAT,VMAG,Period,Priority,Notes
TIC031303242,0031303242,,05:31:13.65,-27:09:04.3,230.64803,-28.66044,10.71,7.06,4,tessebs
TIC180943676,0180943676,2712807000102,05:54:54.36,-46:25:31.5,253.28956,-28.69469,10.98,8.42,4,tessebs
TIC078568736,0078568736,2166346000287,06:51:33.94,-22:11:25.7,232.89695,-9.89016,9.82,8.22,4,tessebs
TIC037606218,0037606218,2309651000182,06:12:59.66,-27:52:49.4,234.74933,-20.15569,9.77,7.84,4,tessebs
TIC052924466,0052924466,2444871000103,06:49:32.98,-33:42:33.3,243.47335,-15.02029,9.54,37.27,4,tessebs
TIC140659978,0140659978,3072538001223,04:49:48.80,-72:27:47.6,284.48511,-34.78642,11.56,9.44,4,tessebs
TIC350297040,0350297040,2875958000093,05:34:52.32,-55:55:55.8,263.93092,-32.76539,11.44,10.87,4,tessebs
TIC112236473,0112236473,2459261000243,07:27:19.96,-34:20:53.7,247.45019,-8.20192,10.16,10.28,4,tessebs
TIC134522557,0134522557,,08:09:28.64,-38:51:29.3,255.61713,-3.13159,9.74,5.73,4,tessebs
TIC278826996,0278826996,2845848000154,06:41:20.09,-54:01:15.8,263.28989,-23.08142,11.1,19.17,4,tessebs
TIC319863494,0319863494,,07:17:55.09,-32:47:35.4,245.15014,-9.24832,8.11,5.14,4,tessebs
TIC173038281,0173038281,2295367000334,06:49:06.01,-27:20:58.4,237.43091,-12.56521,10.09,4.31,4,tessebs
TIC238896417,0238896417,2780661000036,06:14:43.12,-50:12:39.8,258.18267,-26.18331,10.5,16.24,4,tessebs
TIC093911780,0093911780,,08:42:25.39,-53:06:50.3,270.60015,-6.66203,4.83,16.84,4,tessebs
TIC146039664,0146039664,,08:13:50.74,-35:12:29.8,253.04028,-0.40244,6.91,17.84,4,tessebs
TIC001220444,0001220444,2373016000021,04:46:06.57,-30:37:23.9,231.66777,-39.08869,9.56,7.16,4,tessebs
